カテゴリ番号,大カテゴリ,大カテゴリURL,中カテゴリ,中カテゴリURL
0,安全保護具・作業服・安全靴,/safety/,"手袋
",/s/c-268/
0,安全保護具・作業服・安全靴,/safety/,"マスク
",/s/c-258/
0,安全保護具・作業服・安全靴,/safety/,"作業服
",/s/c-267/
0,安全保護具・作業服・安全靴,/safety/,"安全靴・作業靴
",/s/c-260/
0,安全保護具・作業服・安全靴,/safety/,"安全保護具
",/s/c-130781/
1,物流/保管/梱包用品/テープ,/pack/,"物流用品
",/s/c-23/
1,物流/保管/梱包用品/テープ,/pack/,"保管用品
",/s/c-138883/
1,物流/保管/梱包用品/テープ,/pack/,"梱包用品
",/s/c-38/
1,物流/保管/梱包用品/テープ,/pack/,"テープ
",/s/c-601/
2,安全用品・安全標識,/safetysigns/,"安全用品
",/s/c-20/
2,安全用品・安全標識,/safetysigns/,"防災・防犯
",/s/c-138830/
2,安全用品・安全標識,/safetysigns/,"安全標識
",/s/c-21862/
3,オフィスサプライ,/office/,"事務用品
",/s/c-37/
3,オフィスサプライ,/office/,"食品・飲料
",/s/c-23624/
3,オフィスサプライ,/office/,"PC
",/s/c-64386/
3,オフィスサプライ,/office/,"家電
",/s/c-107402/
3,オフィスサプライ,/office/,"学童・教育用品
",/s/c-90816/
4,オフィス家具/照明/清掃用品,/furniture/,"オフィス家具
",/s/c-67/
4,オフィス家具/照明/清掃用品,/furniture/,"照明
",/s/c-28/
4,オフィス家具/照明/清掃用品,/furniture/,"清掃用品
",/s/c-29/
4,オフィス家具/照明/清掃用品,/furniture/,"洗剤・除去剤
",/s/c-138829/
4,オフィス家具/照明/清掃用品,/furniture/,"日用品
",/s/c-107181/
4,オフィス家具/照明/清掃用品,/furniture/,"理美容
",/s/c-132202/
4,オフィス家具/照明/清掃用品,/furniture/,"冷暖房・換気設備・忌避剤
",/s/c-40/
5,科学研究・開発用品/クリーンルーム用品,/labo/,"科学研究・開発用品
",/s/c-135902/
5,科学研究・開発用品/クリーンルーム用品,/labo/,"クリーンルーム用品
",/s/c-959/
6,切削工具・研磨材,/tools/,切削工具,/s/c-10534/
6,切削工具・研磨材,/tools/,研磨材,/s/c-26/
7,測定・測量用品,/measurement/,"測定用品
",/s/c-138903/
7,測定・測量用品,/measurement/,"測量用品（土木/建設）
",/s/c-122750/
7,測定・測量用品,/measurement/,"測定関連サービス
",/s/c-138904/
8,作業工具/電動・空圧工具,/handtool/,"作業工具
",/s/c-27/
8,作業工具/電動・空圧工具,/handtool/,"電動工具
",/s/c-34/
8,作業工具/電動・空圧工具,/handtool/,"エンジン工具
",/s/c-97424/
8,作業工具/電動・空圧工具,/handtool/,"空圧工具
",/s/c-97426/
8,作業工具/電動・空圧工具,/handtool/,"縫製用品
",/s/c-111490/
9,スプレー・オイル・グリス/塗料/接着・補修/溶接,/spray/,スプレー・オイル・グリス,/s/c-10635/
9,スプレー・オイル・グリス/塗料/接着・補修/溶接,/spray/,塗料,/s/c-21585/
9,スプレー・オイル・グリス/塗料/接着・補修/溶接,/spray/,接着剤・補修材,/s/c-21/
9,スプレー・オイル・グリス/塗料/接着・補修/溶接,/spray/,溶接用品,/s/c-39/
10,農業資材・園芸用品,/agriculture/,"農業・園芸資材
",/s/c-94726/
10,農業資材・園芸用品,/agriculture/,"肥料・農薬・除草剤・種
",/s/c-115404/
10,農業資材・園芸用品,/agriculture/,"農具
",/s/c-94629/
10,農業資材・園芸用品,/agriculture/,"農業機械
",/s/c-94630/
11,厨房機器・キッチン/店舗用品,/kitchen/,"厨房用品
",/s/c-138885/
11,厨房機器・キッチン/店舗用品,/kitchen/,"卓上消耗品
",/s/c-138884/
11,厨房機器・キッチン/店舗用品,/kitchen/,"店舗什器・備品
",/s/c-129493/
12,医療・介護用品,/medical/,"救急・衛生
",/s/c-138871/
12,医療・介護用品,/medical/,"ヘルスケア
",/s/c-138870/
12,医療・介護用品,/medical/,"医療
",/s/c-71128/
12,医療・介護用品,/medical/,"介護用品
",/s/c-113718/
13,建築金物・建材・塗装内装用品,/kouji/,塗装・養生・内装用品,/s/c-35/
13,建築金物・建材・塗装内装用品,/kouji/,建築金物,/s/c-81257/
13,建築金物・建材・塗装内装用品,/kouji/,建材・エクステリア,/s/c-84178/
13,建築金物・建材・塗装内装用品,/kouji/,住設機器,/s/c-84177/
14,空調・電設資材/電気材料,/kucho/,空調・電設資材,/s/c-109396/
